epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,3912.26,1.4274,10.8237,0.6011,2.07125,1.23528,0.00048,0.08654,0.0005,0.00018,5e-05,0.01282,4e-05,1e-05,2.90563,11.7889,0.52965,5.65333,2.52524,0.0007426,0.0007426,0.0007426
28,4045.15,1.59926,11.1228,0.59251,2.26785,1.33862,0.00063,0.09615,0.00053,0.00019,0.00011,0.02137,8e-05,2e-05,2.79174,11.7778,0.54009,5.57662,2.49862,0.0007327,0.0007327,0.0007327
29,4176.1,1.42712,10.746,0.60841,2.13627,1.31346,0.00066,0.09188,0.00049,0.00016,0.0001,0.01709,6e-05,1e-05,2.79045,11.766,0.54847,5.61223,2.48558,0.0007228,0.0007228,0.0007228
30,4307.44,1.48501,10.9809,0.57495,1.9843,1.29911,0.00076,0.09722,0.00053,0.00014,0.0002,0.02564,0.00018,4e-05,2.72835,11.7494,0.55715,6.08027,2.40808,0.0007129,0.0007129,0.0007129
31,4436.76,1.45498,11.1255,0.60106,2.04453,1.2507,0.00059,0.07265,0.00039,0.00011,0.0002,0.02564,0.00028,6e-05,2.76707,11.7136,0.55459,6.1097,2.41572,0.000703,0.000703,0.000703
32,4566.54,1.44704,10.9152,0.60009,2.27363,1.29938,0.00029,0.02885,0.00028,0.00011,0.00022,0.02137,0.00032,7e-05,2.82109,11.7068,0.56423,5.61033,2.35234,0.0006931,0.0006931,0.0006931
33,4698.15,1.45862,10.6837,0.57777,2.13961,1.28094,0.0013,0.01282,0.0003,7e-05,0.0002,0.02137,0.00027,5e-05,2.84967,11.7345,0.57501,5.55105,2.37115,0.0006832,0.0006832,0.0006832
34,4829.05,1.44822,11.1424,0.59886,2.07443,1.27311,0.00057,0.06944,0.00045,0.0001,0.00017,0.02564,0.0002,5e-05,2.82017,11.7293,0.55625,5.97191,2.58754,0.0006733,0.0006733,0.0006733
35,4959.55,1.38262,10.8087,0.60273,2.04827,1.24891,0.00121,0.01068,0.00055,0.00015,0.00013,0.02137,9e-05,2e-05,2.78735,11.7245,0.56106,6.90505,2.50554,0.0006634,0.0006634,0.0006634
36,5089.67,1.40728,10.4008,0.58811,2.09702,1.23125,0.00079,0.11645,0.00053,0.00014,0.00014,0.02564,9e-05,2e-05,2.75714,11.7533,0.57031,6.20301,2.50257,0.0006535,0.0006535,0.0006535
