epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,24.6912,1.04726,0.31197,1,1.13659,0.00010003,0.00010003,0.00010003
2,48.7726,0.81249,0.33333,1,1.26808,0.000210106,0.000210106,0.000210106
3,71.9107,0.65702,0.33333,1,1.57305,0.000315655,0.000315655,0.000315655
4,95.0443,0.46888,0.36752,1,1.51815,0.000416676,0.000416676,0.000416676
5,118.254,0.41813,0.5,1,1.4462,0.000513171,0.000513171,0.000513171
6,141.029,0.30084,0.5,1,1.48336,0.000605139,0.000605139,0.000605139
7,164.456,0.20539,0.5,1,1.53729,0.000692579,0.000692579,0.000692579
8,187.062,0.20703,0.5,1,1.19298,0.000775493,0.000775493,0.000775493
9,211.202,0.21701,0.5,1,0.88474,0.000853879,0.000853879,0.000853879
10,240.988,0.14154,0.5641,1,0.74106,0.000927738,0.000927738,0.000927738
11,264.148,0.15221,0.63675,1,0.69519,0.00099707,0.00099707,0.00099707
12,289.908,0.10834,0.55556,1,0.83129,0.00106188,0.00106188,0.00106188
13,313.168,0.08785,0.52137,1,1.0739,0.00108947,0.00108947,0.00108947
14,335.781,0.05386,0.55128,1,1.09742,0.00106118,0.00106118,0.00106118
15,358.123,0.09863,0.5641,1,0.83968,0.00103288,0.00103288,0.00103288
16,380.758,0.07704,0.53846,1,1.29977,0.00100459,0.00100459,0.00100459
17,404.228,0.1008,0.51709,1,1.57505,0.000976293,0.000976293,0.000976293
18,426.741,0.05828,0.50855,1,1.74961,0.000947999,0.000947999,0.000947999
19,448.675,0.05541,0.52991,1,1.13446,0.000919704,0.000919704,0.000919704
20,470.419,0.03631,0.57692,1,0.74576,0.00089141,0.00089141,0.00089141
21,493.453,0.03933,0.62821,1,0.59776,0.000863116,0.000863116,0.000863116
22,514.976,0.03976,0.73932,1,0.47166,0.000834822,0.000834822,0.000834822
23,536.657,0.03579,0.69658,1,0.53089,0.000806528,0.000806528,0.000806528
24,559.158,0.05265,0.56838,1,0.8576,0.000778233,0.000778233,0.000778233
25,580.711,0.02883,0.54274,1,1.12401,0.000749939,0.000749939,0.000749939
26,602.63,0.04326,0.54701,1,1.07744,0.000721645,0.000721645,0.000721645
27,625.068,0.03197,0.54701,1,1.09843,0.000693351,0.000693351,0.000693351
28,646.706,0.03859,0.57692,1,0.90864,0.000665057,0.000665057,0.000665057
29,668.558,0.05405,0.58547,1,0.97885,0.000636762,0.000636762,0.000636762
30,692.083,0.05185,0.55983,1,1.08854,0.000608468,0.000608468,0.000608468
31,713.695,0.02968,0.5641,1,0.95451,0.000580174,0.000580174,0.000580174
32,736.798,0.03424,0.55983,1,0.8731,0.00055188,0.00055188,0.00055188
33,759.768,0.03763,0.5812,1,0.87859,0.000523586,0.000523586,0.000523586
34,783.421,0.04185,0.59402,1,0.77008,0.000495291,0.000495291,0.000495291
35,819.869,0.02351,0.60256,1,0.78788,0.000466997,0.000466997,0.000466997
36,844.827,0.02322,0.55128,1,0.97469,0.000438703,0.000438703,0.000438703
37,869.925,0.00428,0.53419,1,1.1672,0.000410409,0.000410409,0.000410409
38,886.997,0.03526,0.55128,1,0.99747,0.000382115,0.000382115,0.000382115
39,903.43,0.04194,0.54701,1,1.02209,0.00035382,0.00035382,0.00035382
40,919.589,0.05449,0.73504,1,0.50836,0.000325526,0.000325526,0.000325526
41,935.734,0.01341,0.7735,1,0.49155,0.000297232,0.000297232,0.000297232
42,952.502,0.01664,0.80769,1,0.43364,0.000268938,0.000268938,0.000268938
43,969.652,0.04079,0.79487,1,0.42302,0.000240644,0.000240644,0.000240644
44,985.842,0.00967,0.73932,1,0.51646,0.000212349,0.000212349,0.000212349
45,1002.14,0.01821,0.76068,1,0.46746,0.000184055,0.000184055,0.000184055
46,1019.76,0.02954,0.79487,1,0.38456,0.000155761,0.000155761,0.000155761
47,1036.24,0.01948,0.79487,1,0.42709,0.000127467,0.000127467,0.000127467
48,1052.7,0.03331,0.76923,1,0.47432,9.91726e-05,9.91726e-05,9.91726e-05
49,1068.84,0.01589,0.7735,1,0.45963,7.08784e-05,7.08784e-05,7.08784e-05
50,1085.85,0.04992,0.7906,1,0.44471,4.25842e-05,4.25842e-05,4.25842e-05
